soil_type,rainfall_mm,temperature_c,humidity_pct,crop
Loamy,120,22,60,Wheat
Clay,200,28,70,Rice
Sandy,90,26,65,Maize
Silty,180,24,65,Rice
Loamy,70,27,55,Maize
Clay,110,20,58,Wheat
Sandy,170,30,50,Cotton
Loamy,140,23,62,Soybean
Silty,160,25,68,Soybean
Clay,230,30,72,Rice
Loamy,80,29,52,Cotton
Sandy,50,22,48,Maize
Loamy,130,24,66,Wheat
Clay,210,32,75,Rice
Silty,95,21,60,Maize
Loamy,150,28,63,Soybean
Clay,170,29,70,Soybean
Sandy,135,31,45,Cotton
Loamy,180,26,70,Rice
Silty,110,23,64,Soybean
Clay,90,18,55,Wheat
Loamy,210,29,60,Cotton
Sandy,120,25,58,Maize
Silty,200,27,72,Rice
Loamy,100,22,58,Wheat
Clay,140,25,68,Soybean
Sandy,160,30,50,Cotton
Loamy,190,28,70,Rice
Silty,80,20,62,Maize
Clay,130,24,65,Soybean
